loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status
LN-00001,BR-03001,Home Equity,2022-02-13,2027-02-13,487682,289617.45,7.59,60,NY,Education,D,12 years,$50k-$75k,Delinquent,45,Blue Ridge Servicing,2026-04-03,2026-05-06T00:00:00Z,Complete
LN-00002,BR-03002,Auto,2022-04-13,2032-04-13,152623,140231.89,8.13,120,AZ,Major purchase,D,2 years,$75k-$100k,Current,0,Pioneer Credit,2026-07-04,2026-04-23T00:00:00Z,Complete
LN-00003,BR-03003,Student,2024-04-04,2031-04-05,74410,41312.72,7.12,84,FL,Home improvement,D,10 years,$100k-$150k,Current,0,Atlas Loan Co.,2026-06-01,2026-06-08T00:00:00Z,Complete
LN-00004,BR-03004,Auto,2022-10-17,2027-10-17,354547,236393.98,7.51,60,AZ,Debt consolidation,B,5 years,$100k-$150k,Delinquent,15,Northstar Servicing,2026-06-20,2026-04-05T00:00:00Z,Complete
LN-00005,BR-03005,Personal,2023-11-17,2043-11-18,80149,68723.28,9.41,240,IL,Education,A,10 years,$100k-$150k,Current,0,Harbor Servicing,2026-07-09,2026-06-15T00:00:00Z,Complete
LN-00006,BR-03006,Personal,2022-11-16,2025-11-16,237366,162544.24,9.05,36,CA,Major purchase,B,12 years,$50k-$75k,Current,0,Pioneer Credit,2026-07-30,2026-04-12T00:00:00Z,Complete
LN-00007,BR-03007,Mortgage,2021-09-12,2026-09-12,439998,269440.17,7.25,60,PA,Home improvement,A,10 years,$100k-$150k,Current,0,Harbor Servicing,2026-04-19,2026-07-04T00:00:00Z,Complete
LN-00008,BR-03008,Student,2024-03-21,2044-03-22,174813,152851.65,4.12,240,NJ,Debt consolidation,C,2 years,$100k-$150k,Late,30,Northstar Servicing,2026-07-08,2026-05-20T00:00:00Z,Complete
LN-00009,BR-03009,Auto,2024-01-14,2054-01-14,425948,0,9.13,360,VA,Home improvement,D,7 years,$150k+,Closed,0,Blue Ridge Servicing,2026-06-14,2026-04-17T00:00:00Z,Complete
LN-00010,BR-03010,Mortgage,2022-08-06,2032-08-06,205838,183612.8,10.28,120,NC,Auto purchase,D,7 years,$150k+,Current,0,Northstar Servicing,2026-06-01,2026-04-11T00:00:00Z,Complete
LN-00011,BR-03011,Home Equity,2023-06-26,2026-06-26,332806,199152.83,6.26,36,TX,Major purchase,C,12 years,$75k-$100k,Current,0,Pioneer Credit,2026-05-13,2026-08-01T00:00:00Z,Complete
LN-00012,BR-03012,Mortgage,2021-04-15,2031-04-16,96808,77963.51,7.96,120,MA,Debt consolidation,B,7 years,$75k-$100k,Current,0,Summit Financial,2026-04-29,2026-07-05T00:00:00Z,Complete
LN-00013,BR-03013,Personal,2024-03-26,2030-03-27,193171,108158.77,4.86,72,OR,Education,D,5 years,$100k-$150k,Current,0,Pioneer Credit,2026-07-08,2026-06-21T00:00:00Z,Complete
LN-00014,BR-03014,Installment,2022-05-15,2042-05-16,386402,215288.09,9.98,240,NY,Medical,B,5 years,$75k-$100k,Late,60,Blue Ridge Servicing,2026-07-03,2026-07-04T00:00:00Z,Complete
LN-00015,BR-03015,Personal,2025-01-02,2029-01-02,437851,223491.78,6.89,48,VA,Medical,D,12 years,$50k-$75k,Current,0,Blue Ridge Servicing,2026-06-23,2026-04-20T00:00:00Z,Complete
LN-00016,BR-03016,Auto,2021-05-01,2023-05-02,221993,179015.09,6.73,24,VA,Auto purchase,D,2 years,$100k-$150k,Current,0,Northstar Servicing,2026-06-02,2026-04-09T00:00:00Z,Complete
LN-00017,BR-03017,Mortgage,2023-05-14,2029-05-14,444394,161323.36,4.44,72,AZ,Debt consolidation,B,3 years,$150k+,Current,0,Pioneer Credit,2026-07-02,2026-04-14T00:00:00Z,Complete
LN-00018,BR-03018,Student,2024-02-11,2034-02-11,251233,0,12.05,120,NC,Debt consolidation,D,3 years,$50k-$75k,Closed,0,Atlas Loan Co.,2026-06-28,2026-06-06T00:00:00Z,Complete
LN-00019,BR-03019,Installment,2024-07-08,2028-07-08,30106,20597.71,6.93,48,NJ,Home improvement,D,7 years,$75k-$100k,Current,0,Summit Financial,2026-04-06,2026-06-29T00:00:00Z,Complete
LN-00020,BR-03020,Installment,2022-05-11,2042-05-12,412399,163136.14,7.04,240,IL,Education,A,10 years,$50k-$75k,Current,0,Atlas Loan Co.,2026-05-18,2026-05-10T00:00:00Z,Complete
LN-00021,BR-03021,Student,2023-06-01,2038-06-01,-134639,37653.75,4.87,180,OR,Major purchase,A,5 years,$50k-$75k,Current,0,Summit Financial,2026-05-03,2026-06-20T00:00:00Z,Complete
LN-00022,BR-03022,Installment,2023-04-17,2026-04-17,292516,-215423.9,3.91,36,GA,Medical,D,3 years,$75k-$100k,Current,0,Pioneer Credit,2026-04-08,2026-07-02T00:00:00Z,Complete
LN-00023,BR-03023,Student,2023-07-27,2038-07-27,459391,472840,9.33,180,TN,Auto purchase,D,7 years,$100k-$150k,Current,0,Harbor Servicing,2026-07-19,2026-07-11T00:00:00Z,Complete
LN-00024,BR-03024,Mortgage,2024-08-26,2024-07-27,309216,168415.91,6.49,240,MA,Auto purchase,C,2 years,$150k+,Current,0,Pioneer Credit,2026-06-29,2026-06-19T00:00:00Z,Complete
LN-00025,BR-03025,Student,2022-11-08,2032-11-08,105214,32073.04,35,120,VA,Medical,B,2 years,$75k-$100k,Current,0,Atlas Loan Co.,2026-05-13,2026-05-12T00:00:00Z,Complete
LN-00026,BR-03026,Home Equity,2023-07-09,2038-07-09,277284,236194.24,7.69,180,CA,Auto purchase,A,7 years,$100k-$150k,Current,15,Pioneer Credit,2026-06-27,2026-07-24T00:00:00Z,Complete
LN-00027,BR-03027,Student,2021-11-01,2036-11-01,174794,26219.1,5.47,180,NC,Home improvement,D,7 years,$75k-$100k,Closed,0,Atlas Loan Co.,2026-08-01,2026-04-29T00:00:00Z,Complete
LN-00028,BR-03028,Personal,2023-07-15,2053-07-15,304854,269965.71,11.99,360,MN,Education,A,3 years,$100k-$150k,Current,0,Harbor Servicing,2026-07-14,2026-07-08T00:00:00Z,
LN-00029,BR-03029,Student,2023-12-22,2028-12-21,136096,77155.37,5.38,60,ZZ,Home improvement,C,7 years,$150k+,Delinquent,30,Blue Ridge Servicing,2026-04-05,2026-08-01T00:00:00Z,Complete
LN-00030,BR-03030,Installment,2023-04-25,2028-04-24,288636,169287.28,10.27,60,CA,Auto purchase,C,12 years,$75k-$100k,Current,0,Summit Financial,2026-05-11,2024-01-15T10:00:00Z,Complete
LN-00031,BR-03031,Auto,2026-99-40,2053-01-25,201525,67585.06,4.12,360,TX,Auto purchase,D,10 years,$150k+,Current,0,Summit Financial,2026-07-27,2026-06-05T00:00:00Z,Complete
LN-00032,BR-03032,Installment,2022-10-26,not-a-date,487297,205258.02,6.85,72,FL,Debt consolidation,C,7 years,$75k-$100k,Current,0,Blue Ridge Servicing,2026-06-10,2026-05-05T00:00:00Z,Partial
,BR-03033,Home Equity,2022-03-06,2028-03-06,324087,89768.13,11.45,72,PA,Auto purchase,A,3 years,$150k+,Current,0,Blue Ridge Servicing,2026-06-29,2026-04-06T00:00:00Z,Complete
LN-00001,BR-03034,Student,2021-03-06,2031-03-07,212382,153274.42,6.43,120,GA,Auto purchase,D,12 years,$150k+,Current,0,Atlas Loan Co.,2026-05-01,2026-06-14T00:00:00Z,Complete
LN-00035,BR-03001,Auto,2022-02-13,2028-09-22,487682,113171.88,4.7,60,FL,Major purchase,C,10 years,$50k-$75k,Late,45,Northstar Servicing,2026-05-16,2026-07-15T00:00:00Z,Complete
LN-00036,,Mortgage,2022-07-31,2026-07-31,332078,290895.24,5.41,48,MD,Major purchase,D,12 years,$75k-$100k,Current,0,Harbor Servicing,2026-05-30,2026-05-02T00:00:00Z,Complete
LN-00037,BR-03037,Personal,2021-11-20,2036-11-20,not-a-number,136491.86,5.01,180,FL,Medical,C,10 years,$100k-$150k,Current,0,Summit Financial,2026-05-02,2026-06-30T00:00:00Z,Partial
LN-00038,BR-03038,Personal,2023-06-24,2038-06-24,320905,233105.33,unknown,180,PA,Debt consolidation,A,3 years,$100k-$150k,Current,0,Northstar Servicing,2026-07-18,2026-04-05T00:00:00Z,Complete
LN-00039,BR-03039,Installment,2023-11-15,2026-11-15,-456544,345679.24,5.48,36,VA,Debt consolidation,B,5 years,$75k-$100k,Current,0,Northstar Servicing,2026-05-12,2026-07-19T00:00:00Z,Complete
LN-00040,BR-03040,Auto,2022-07-13,2052-07-13,335402,350919,12.15,360,CO,Home improvement,D,5 years,$50k-$75k,Current,0,Blue Ridge Servicing,2026-07-21,2026-07-28T00:00:00Z,Complete
LN-00041,BR-03041,Student,2022-04-02,2052-04-02,156628,71320.91,11.29,360,GA,Major purchase,A,10 years,$100k-$150k,Current,60,Atlas Loan Co.,2026-07-27,2026-04-08T00:00:00Z,Complete
LN-00042,BR-03042,Mortgage,2024-11-02,2030-11-03,307102,46065.3,10.19,72,PA,Auto purchase,A,5 years,$75k-$100k,Closed,0,Summit Financial,2026-07-14,2026-04-28T00:00:00Z,Complete
LN-00043,BR-03043,Personal,2023-04-26,2027-04-26,293709,107685.6,6.35,48,WA,Medical,A,12 years,$75k-$100k,Current,0,Atlas Loan Co.,2026-06-21,2026-06-14T00:00:00Z,
LN-00044,BR-03044,Mortgage,2024-06-07,2030-06-08,494501,295870.56,6.2,72,ZZ,Debt consolidation,A,7 years,$50k-$75k,Current,0,Blue Ridge Servicing,2026-07-15,2026-04-13T00:00:00Z,Complete
LN-00045,BR-03045,Auto,2023-02-05,2038-02-05,236508,96576.99,7.16,180,MD,Major purchase,A,5 years,$150k+,Late,45,Pioneer Credit,2026-06-27,2024-01-15T10:00:00Z,Complete
LN-00046,BR-03046,Installment,2021-10-22,2021-09-22,275862,0,9.99,60,VA,Education,B,12 years,$150k+,Closed,0,Northstar Servicing,2026-05-29,2026-04-30T00:00:00Z,Complete
LN-00047,BR-03047,Installment,2021-02-08,2025-02-08,173897,75771.31,24,48,MN,Debt consolidation,D,10 years,$150k+,Current,0,Summit Financial,2026-05-10,2026-05-18T00:00:00Z,Complete
LN-00048,BR-03048,Home Equity,2023-09-30,2028-09-29,177143,-119899.12,9.25,60,MN,Auto purchase,C,12 years,$75k-$100k,Current,0,Blue Ridge Servicing,2026-07-16,2026-05-31T00:00:00Z,Complete
,BR-03049,Installment,2023-10-20,2026-10-20,56254,46320.33,12.34,36,VA,Home improvement,B,3 years,$150k+,Current,0,Blue Ridge Servicing,2026-07-08,2026-05-07T00:00:00Z,Complete
LN-00001,BR-03050,Installment,2022-09-07,2037-09-07,420765,126263.89,5.28,180,TX,Auto purchase,C,10 years,$150k+,Current,0,Pioneer Credit,2026-07-17,2026-04-04T00:00:00Z,Complete
LN-00051,BR-03001,Home Equity,2022-02-13,2027-09-30,487682,306810.63,9.77,72,MD,Debt consolidation,A,2 years,$100k-$150k,Current,0,Summit Financial,2026-06-20,2026-06-26T00:00:00Z,Complete
LN-00052,,Installment,2021-11-09,2041-11-10,34667,16959.18,7.53,240,NJ,Auto purchase,C,12 years,$100k-$150k,Current,0,Harbor Servicing,2026-07-15,2026-05-30T00:00:00Z,Complete
LN-00053,BR-03053,Mortgage,2022-04-29,2042-04-30,74445,N/A,5.11,240,AZ,Education,B,3 years,$50k-$75k,Current,0,Summit Financial,2026-06-02,2026-05-07T00:00:00Z,Complete
LN-00054,BR-03054,Student,2021-04-06,2023-04-07,406881,228445.36,11.6,24,TN,Auto purchase,B,10 years,$75k-$100k,Late,thirty,Pioneer Credit,2026-04-22,2026-04-26T00:00:00Z,Complete
LN-00055,BR-03055,Home Equity,2023-11-14,2025-11-14,107060,16059.0,10.32,24,TX,Auto purchase,A,7 years,$150k+,Closed,0,Pioneer Credit,2026-07-09,2026-07-09T00:00:00Z,Complete
LN-00056,BR-03056,Mortgage,2021-06-13,2024-06-13,401197,302077.3,11.71,36,IL,Major purchase,C,5 years,$150k+,Current,30,Blue Ridge Servicing,2026-04-26,2026-05-20T00:00:00Z,Complete
LN-00057,BR-03057,Mortgage,2023-06-17,2029-06-17,126128,47758.0,4.09,72,CA,Debt consolidation,A,10 years,$75k-$100k,Current,0,Northstar Servicing,2026-05-29,2026-04-28T00:00:00Z,
LN-00058,BR-03058,Personal,2021-03-07,2041-03-08,345472,298592.04,9.87,240,VA,Home improvement,B,7 years,$50k-$75k,Current,0,Atlas Loan Co.,2026-04-04,2024-01-15T10:00:00Z,Complete
LN-00059,BR-03059,Student,2021-08-31,2028-08-31,268932,119882.38,9.09,84,ZZ,Debt consolidation,A,5 years,$150k+,Late,90,Atlas Loan Co.,2026-04-22,2026-05-24T00:00:00Z,Complete
LN-00060,BR-03060,Installment,2025-02-02,2025-01-03,291402,184671.88,9.61,36,TN,Debt consolidation,B,5 years,$100k-$150k,Current,0,Blue Ridge Servicing,2026-06-20,2026-06-15T00:00:00Z,Complete
LN-00061,BR-03061,Personal,2022-09-10,2026-09-10,268466,293745,4.49,48,IL,Education,D,12 years,$100k-$150k,Current,0,Pioneer Credit,2026-07-08,2026-07-22T00:00:00Z,Complete
LN-00062,BR-03062,Personal,2023-12-05,2025-12-05,-19678,9939.82,8.75,24,WA,Home improvement,C,5 years,$100k-$150k,Current,0,Northstar Servicing,2026-04-09,2026-06-28T00:00:00Z,Partial
LN-00063,BR-03063,Home Equity,2022-02-22,2052-02-23,479058,339596.21,-2,360,FL,Medical,B,5 years,$100k-$150k,Current,0,Blue Ridge Servicing,2026-07-01,2026-05-25T00:00:00Z,Complete
LN-00064,BR-03064,Auto,2026-99-40,2023-06-14,270049,73683.88,9.68,24,FL,Medical,A,5 years,$50k-$75k,Current,0,Summit Financial,2026-06-24,2026-04-18T00:00:00Z,Complete
LN-00065,BR-03065,Home Equity,2025-01-31,not-a-date,351040,111794.2,11.77,36,CO,Home improvement,B,12 years,$50k-$75k,Current,0,Atlas Loan Co.,2026-06-20,2026-04-29T00:00:00Z,Complete
,BR-03066,Personal,2021-02-21,2027-02-22,15049,9232.09,8.43,72,IL,Medical,B,12 years,$100k-$150k,Delinquent,30,Pioneer Credit,2026-05-07,2026-04-06T00:00:00Z,Complete
LN-00001,BR-03067,Personal,2021-04-08,2025-04-08,180396,59120.98,8.14,48,PA,Medical,A,7 years,$75k-$100k,Current,0,Northstar Servicing,2026-06-04,2026-05-02T00:00:00Z,Complete
LN-00068,BR-03001,Home Equity,2022-02-13,2026-07-26,487682,0,5.94,48,NJ,Debt consolidation,C,10 years,$50k-$75k,Closed,0,Northstar Servicing,2026-07-01,2026-06-20T00:00:00Z,Complete
LN-00069,BR-03069,Student,2021-03-23,2051-03-24,76019,40866.87,unknown,360,AZ,Education,B,3 years,$150k+,Current,0,Northstar Servicing,2026-04-19,2026-04-03T00:00:00Z,Complete
LN-00070,BR-03070,Home Equity,2024-07-16,2034-07-17,391088,58663.2,9.49,120,OR,Major purchase,C,12 years,$50k-$75k,Closed,0,Atlas Loan Co.,2026-06-22,2026-06-07T00:00:00Z,Complete
LN-00071,BR-03071,Installment,2023-11-22,2029-11-22,135188,71093.82,5.81,72,NC,Auto purchase,A,7 years,$50k-$75k,Current,30,Blue Ridge Servicing,2026-06-11,2026-05-30T00:00:00Z,Complete
LN-00072,BR-03072,Student,2023-05-22,2030-05-22,433781,197959.49,12.46,84,OR,Home improvement,A,10 years,$150k+,Current,0,Atlas Loan Co.,2026-06-19,2026-05-25T00:00:00Z,
LN-00073,BR-03073,Installment,2022-12-08,2025-12-08,147488,40229.37,11.51,36,MN,Major purchase,C,3 years,$100k-$150k,Current,0,Summit Financial,2026-06-02,2024-01-15T10:00:00Z,Complete
LN-00074,BR-03074,Mortgage,2024-10-02,2027-10-03,221200,87362.44,11.46,36,ZZ,Medical,D,7 years,$50k-$75k,Current,0,Harbor Servicing,2026-06-03,2026-04-08T00:00:00Z,Complete
