loan_id,borrower_id,current_balance,interest_rate,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-00001,BR-03001,289617.45,7.59,Delinquent,45,Blue Ridge Servicing,2026-04-03,2026-05-06T00:00:00Z,Complete,servicer_update.csv
LN-00002,BR-03002,140231.89,8.13,Current,0,Pioneer Credit,2026-07-04,2026-04-23T00:00:00Z,Complete,servicer_update.csv
LN-00003,BR-03003,41312.72,7.12,Current,0,Atlas Loan Co.,2026-06-01,2026-06-08T00:00:00Z,Complete,servicer_update.csv
LN-00004,BR-03004,236393.98,7.51,Delinquent,15,Northstar Servicing,2026-06-20,2026-04-05T00:00:00Z,Complete,servicer_update.csv
LN-00005,BR-03005,60223.28,9.41,Current,0,Harbor Servicing,2026-07-09,2026-06-15T00:00:00Z,Complete,servicer_update.csv
LN-00006,BR-03006,162544.24,9.05,Current,0,Pioneer Credit,2026-07-30,2026-04-12T00:00:00Z,Complete,servicer_update.csv
LN-00007,BR-03007,269440.17,7.25,Current,0,Harbor Servicing,2026-04-19,2026-07-04T00:00:00Z,Complete,servicer_update.csv
LN-00008,BR-03008,152851.65,4.12,Late,30,Northstar Servicing,2026-07-08,2026-05-20T00:00:00Z,Complete,servicer_update.csv
LN-00009,BR-03009,0,9.13,Current,0,Blue Ridge Servicing,2026-06-14,2026-04-17T00:00:00Z,Complete,servicer_update.csv
LN-00010,BR-03010,183612.8,10.28,Current,0,Northstar Servicing,2026-06-01,2026-04-11T00:00:00Z,Complete,servicer_update.csv
LN-00011,BR-03011,199152.83,6.26,Current,0,Pioneer Credit,2026-05-13,2026-08-01T00:00:00Z,Complete,servicer_update.csv
LN-00012,BR-03012,82163.51,7.96,Current,0,Summit Financial,2026-04-29,2026-07-05T00:00:00Z,Complete,servicer_update.csv
LN-00013,BR-03013,108158.77,4.86,Current,0,Pioneer Credit,2026-07-08,2026-06-21T00:00:00Z,Complete,servicer_update.csv
LN-00014,BR-03014,215288.09,9.98,Late,60,Blue Ridge Servicing,2026-07-03,2026-07-04T00:00:00Z,Complete,servicer_update.csv
LN-00015,BR-03015,223491.78,8.14,Current,0,Blue Ridge Servicing,2026-06-23,2026-04-20T00:00:00Z,Complete,servicer_update.csv
LN-00016,BR-03016,179015.09,6.73,Current,0,Northstar Servicing,2026-06-02,2026-04-09T00:00:00Z,Complete,servicer_update.csv
LN-00017,BR-03017,161323.36,4.44,Current,0,Pioneer Credit,2026-07-02,2026-04-14T00:00:00Z,Complete,servicer_update.csv
LN-00018,BR-03018,0,12.05,Closed,0,Atlas Loan Co.,2026-06-28,2026-06-06T00:00:00Z,Complete,servicer_update.csv
LN-00019,BR-03019,20597.71,6.93,Current,0,Summit Financial,2026-04-06,2026-06-29T00:00:00Z,Complete,servicer_update.csv
LN-00020,BR-03020,163136.14,7.04,Current,0,Atlas Loan Co.,2026-05-18,2026-05-10T00:00:00Z,Complete,servicer_update.csv
